category,city,container,customer_id,customer_name,customer_segment,department,item,item_id,order_date,order_id,order_priority,postal_code,region,row_id,ship_date,ship_mode,state,days_to_ship,discount,kpi_-_profit_ratio,number_of_records,order_quantity,product_base_margin,profit,profit_ratio,sales,shipping_cost,unit_price,profit_margin,profit_per_unit
Office Furnishings,Dublin,Wrap Bag,2773,Christina Zhu,Corporate,Furniture,"Master Giant Foot® Doorstop, Safety Yellow",11011,2015-07-10,91585,Not Specified,94568,West,26095,2015-07-12,Regular Air,California,2,0.06,Acceptable,1,13,0.42,17,0.1809,94,4,8,0.18085106382978725,1.3076923076923077
Paper,Derry,Small Box,27,Guy Gallagher,Corporate,Office Supplies,Xerox 1880,10450,2015-07-10,87659,Low,3038,East,23535,2015-07-12,Regular Air,New Hampshire,2,0.1,Poor,1,4,0.38,-47,-0.3287,143,20,35,-0.32867132867132864,-11.75
Pens & Art Supplies,Dublin,Wrap Bag,2773,Christina Zhu,Corporate,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",11012,2015-07-10,91585,Not Specified,94568,West,26096,2015-07-12,Regular Air,California,2,0.01,Poor,1,11,0.57,-30,-0.9091,33,2,3,-0.9090909090909091,-2.727272727272727
Computer Peripherals,Kalispell,Small Pack,1495,Theodore Petty,Home Office,Technology,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",11024,2015-07-10,85887,Medium,59901,West,26070,2015-07-12,Regular Air,Montana,2,0.1,Poor,1,10,0.64,-120,-2.6087,46,5,5,-2.608695652173913,-12.0
Paper,Derry,Small Box,27,Guy Gallagher,Corporate,Office Supplies,Xerox 194,11067,2015-07-10,87659,Low,3038,East,23536,2015-07-15,Regular Air,New Hampshire,5,0.06,Acceptable,1,9,0.37,347,0.6912,502,14,55,0.6912350597609562,38.55555555555556
Pens & Art Supplies,Brooklyn,Small Pack,519,Beverly Keith,Home Office,Office Supplies,Boston 16801 Nautilus™ Battery Pencil Sharpener,10739,2015-07-10,90870,Low,11226,East,25674,2015-07-15,Regular Air,New York,5,0.02,Acceptable,1,5,0.59,19,0.1652,115,6,22,0.16521739130434782,3.8
Paper,Bremerton,Small Box,2731,Robert Sloan,Consumer,Office Supplies,Xerox 209,10137,2015-07-10,88119,Low,98310,West,22974,2015-07-17,Regular Air,Washington,7,0.06,Poor,1,8,0.37,-98,-1.8846,52,8,6,-1.8846153846153846,-12.25
Labels,Brooklyn,Small Box,519,Beverly Keith,Home Office,Office Supplies,Avery 508,10955,2015-07-10,90870,Low,11226,East,25673,2015-07-17,Regular Air,New York,7,0.02,Acceptable,1,2,0.36,3,0.3,10,1,5,0.3,1.5
Pens & Art Supplies,Mount Lebanon,Wrap Bag,1946,Teresa Wallace,Home Office,Office Supplies,Newell 336,10799,2015-07-11,86334,Medium,15228,East,19922,2015-07-12,Regular Air,Pennsylvania,1,0.1,Acceptable,1,10,0.56,12,0.3,40,1,4,0.3,1.2
Paper,Winter Park,Wrap Bag,2539,Max Hubbard,Home Office,Office Supplies,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",10353,2015-07-11,91021,Not Specified,32789,South,20959,2015-07-12,Regular Air,Florida,1,0.02,Poor,1,9,0.39,-9,-0.1364,66,4,7,-0.13636363636363635,-1.0
Labels,Nashville,Small Box,804,Kim Ellington,Small Business,Office Supplies,Avery 51,10926,2015-07-11,90051,Not Specified,37211,South,21907,2015-07-12,Regular Air,Tennessee,1,0.1,Poor,1,12,0.39,-85,-1.1644,73,1,6,-1.1643835616438356,-7.083333333333333
Paper,Auburn,Small Box,2447,Gladys Everett,Consumer,Office Supplies,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",11022,2015-07-11,87793,High,13021,East,23814,2015-07-13,Express Air,New York,2,0.03,Acceptable,1,8,0.37,316,0.6915,457,7,55,0.6914660831509847,39.5
Binders and Binder Accessories,Winter Park,Small Box,2539,Max Hubbard,Home Office,Office Supplies,Self-Adhesive Ring Binder Labels,10783,2015-07-11,91021,Not Specified,32789,South,20958,2015-07-13,Regular Air,Florida,2,0.09,Poor,1,13,0.38,-207,-4.4043,47,7,4,-4.404255319148936,-15.923076923076923
Telephones and Communication,Ankeny,Small Box,1799,Jordan Marsh,Corporate,Technology,Item 10164,10164,2015-07-12,85846,Not Specified,50021,Central,21341,2015-07-12,Regular Air,Iowa,0,0.05,Poor,1,2,0.55,-164,-1.4909,110,3,66,-1.490909090909091,-82.0
Office Furnishings,Coachella,Small Pack,1257,Ryan Foster,Home Office,Furniture,"Eldon Regeneration Recycled Desk Accessories, Smoke",11114,2015-07-12,86541,Not Specified,92236,West,18875,2015-07-13,Express Air,California,1,0.05,Poor,1,7,0.53,-57,-3.8,15,4,2,-3.8,-8.142857142857142
Computer Peripherals,Bremerton,Small Box,2731,Robert Sloan,Consumer,Technology,"Micro Innovations Micro 3000 Keyboard, Black",11028,2015-07-12,88120,Critical,98310,West,22197,2015-07-13,Regular Air,Washington,1,0.01,Poor,1,12,0.75,-75,-0.2358,318,6,26,-0.2358490566037736,-6.25
Tables,Palmer,Jumbo Box,298,Eugene Terrell,Corporate,Furniture,Hon 61000 Series Interactive Training Tables,10839,2015-07-12,87392,Not Specified,1069,East,19426,2015-07-14,Delivery Truck,Massachusetts,2,0.02,Acceptable,1,2,0.67,34,0.3269,104,47,44,0.3269230769230769,17.0
Office Machines,Greenwich,Jumbo Drum,294,Rose Reed,Corporate,Technology,Lexmark Z54se Color Inkjet Printer,11127,2015-07-12,87392,Not Specified,6830,East,19425,2015-07-14,Delivery Truck,Connecticut,2,0.04,Poor,1,3,0.36,15,0.0562,267,14,91,0.056179775280898875,5.0
Computer Peripherals,Santa Ana,Small Box,542,Jim Shah,Home Office,Technology,Logitech Access Keyboard,10808,2015-07-12,88130,Low,92704,West,18477,2015-07-17,Regular Air,California,5,0.1,Poor,1,2,0.37,-47,-1.5161,31,4,16,-1.5161290322580645,-23.5
Labels,Sheboygan,Small Box,3190,Amy Jiang,Corporate,Office Supplies,Avery White Multi-Purpose Labels,10725,2015-07-13,86451,Medium,53081,Central,18114,2015-07-13,Regular Air,Wisconsin,0,0.09,Acceptable,1,2,0.39,3,0.3333,9,0,5,0.3333333333333333,1.5
Tables,Austin,Jumbo Box,2067,Theresa Desai,Corporate,Furniture,KI Conference Tables,10922,2015-07-13,85838,High,78745,Central,18004,2015-07-14,Delivery Truck,Texas,1,0.09,Poor,1,8,0.72,-1749,-2.9796,587,89,71,-2.979557069846678,-218.625
Office Machines,Boston,Jumbo Drum,608,Daniel Jones,Corporate,Technology,Panasonic KX-P1150 Dot Matrix Printer,10812,2015-07-13,86442,Not Specified,2129,East,18355,2015-07-14,Delivery Truck,Massachusetts,1,0.09,Acceptable,1,10,0.56,587,0.4247,1382,18,145,0.4247467438494935,58.7
Office Machines,Oxford,Jumbo Drum,607,Clara Hauser,Corporate,Technology,Panasonic KX-P1150 Dot Matrix Printer,10812,2015-07-13,2467,Not Specified,1540,East,355,2015-07-14,Delivery Truck,Massachusetts,1,0.09,Poor,1,41,0.56,587,0.1036,5668,18,145,0.10356386732533522,14.317073170731707
Computer Peripherals,High Point,Small Pack,2065,Shannon McPherson,Corporate,Technology,"Imation 3.5 IBM Diskettes, 10/Box",10167,2015-07-13,85838,High,27260,South,18006,2015-07-14,Regular Air,North Carolina,1,0.04,Acceptable,1,5,0.79,16,0.3404,47,9,8,0.3404255319148936,3.2
Office Furnishings,Austin,Medium Box,2067,Theresa Desai,Corporate,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",10471,2015-07-13,85838,High,78745,Central,18003,2015-07-15,Regular Air,Texas,2,0.07,Acceptable,1,9,0.65,671,0.6903,972,6,108,0.6903292181069959,74.55555555555556
Storage & Organization,Odenton,Small Box,3334,Rose Abrams,Home Office,Office Supplies,Fellowes Recycled Storage Drawers,10590,2015-07-13,90376,High,21113,East,22645,2015-07-15,Regular Air,Maryland,2,0.06,Acceptable,1,16,0.78,525,0.2961,1773,9,111,0.2961082910321489,32.8125
Telephones and Communication,Austin,Medium Box,2067,Theresa Desai,Corporate,Technology,Bell Sonecor JB700 Caller ID,10970,2015-07-13,85838,High,78745,Central,18005,2015-07-15,Regular Air,Texas,2,0.04,Poor,1,8,0.6,-85,-1.5179,56,5,8,-1.5178571428571428,-10.625
Office Machines,Colchester,Medium Box,1337,Jackie Davenport,Small Business,Technology,Canon P1-DHIII Palm Printing Calculator,11245,2015-07-13,89755,Low,5439,East,19165,2015-07-15,Regular Air,Vermont,2,0.05,Poor,1,3,0.4,-43,-0.7818,55,9,18,-0.7818181818181819,-14.333333333333334
Appliances,Madison,Small Box,1335,Ron Patrick,Small Business,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",10220,2015-07-13,89755,Low,7940,East,19166,2015-07-20,Express Air,New Jersey,7,0.0,Poor,1,3,0.59,-9,-0.2813,32,5,9,-0.28125,-3.0
Storage & Organization,Keizer,Small Box,80,Sam Carlson,Small Business,Office Supplies,"24 Capacity Maxi Data Binder Racks, Pearl",10519,2015-07-14,89926,High,97303,West,25084,2015-07-15,Express Air,Oregon,1,0.05,Poor,1,1,0.6,-271,-1.2783,212,10,211,-1.278301886792453,-271.0
Telephones and Communication,Lake Oswego,Small Box,81,Dale Hahn,Small Business,Technology,Timeport L7089,10788,2015-07-14,89926,High,97035,West,25085,2015-07-15,Express Air,Oregon,1,0.0,Acceptable,1,7,0.58,306,0.3979,769,8,126,0.39791937581274384,43.714285714285715
Office Furnishings,Tacoma,Medium Box,691,Alicia Curtis,Home Office,Furniture,"DAX Value U-Channel Document Frames, Easel Back",10850,2015-07-14,89919,Critical,98408,West,25119,2015-07-16,Regular Air,Washington,2,0.0,Poor,1,16,0.54,-149,-1.7126,87,6,5,-1.7126436781609196,-9.3125
Pens & Art Supplies,Goleta,Small Pack,850,Jesse Hutchinson,Small Business,Office Supplies,Sanford 52201 APSCO Electric Pencil Sharpener,11163,2015-07-14,88573,Critical,93117,West,18624,2015-07-16,Regular Air,California,2,0.04,Acceptable,1,9,0.59,155,0.4133,375,9,41,0.41333333333333333,17.22222222222222
Pens & Art Supplies,Trumbull,Wrap Bag,1148,Eleanor Erickson,Corporate,Office Supplies,"Crayola Anti Dust Chalk, 12/Pack",10827,2015-07-14,91346,Low,6611,East,21664,2015-07-18,Regular Air,Connecticut,4,0.08,Poor,1,14,0.4,-5,-0.2083,24,1,2,-0.20833333333333334,-0.35714285714285715
Storage & Organization,Weatherford,Large Box,1146,Jay Shaffer Desai,Consumer,Office Supplies,Sensible Storage WireTech Storage Systems,10460,2015-07-15,87768,Low,76086,Central,24650,2015-07-20,Regular Air,Texas,5,0.02,Poor,1,2,0.8,-232,-1.5065,154,35,71,-1.5064935064935066,-116.0
Bookcases,Hermitage,Jumbo Box,3083,Louis Wells,Small Business,Furniture,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",10044,2015-07-16,89882,Medium,16148,East,20842,2015-07-16,Delivery Truck,Pennsylvania,0,0.04,Poor,1,13,0.71,-1143,-0.7184,1591,60,121,-0.7184160905091138,-87.92307692307692
Paper,El Paso,Small Box,1131,Benjamin Strauss,Corporate,Office Supplies,Xerox 216,10851,2015-07-16,88111,Not Specified,79907,Central,19800,2015-07-17,Express Air,Texas,1,0.05,Poor,1,10,0.37,-121,-1.7794,68,8,6,-1.7794117647058822,-12.1
Paper,Boston,Small Box,1129,Pam Patton,Corporate,Office Supplies,Xerox 216,10851,2015-07-16,12897,Not Specified,2118,East,1800,2015-07-17,Express Air,Massachusetts,1,0.05,Poor,1,42,0.37,-121,-0.4216,287,8,6,-0.42160278745644597,-2.880952380952381
Labels,Creve Coeur,Small Box,1765,Ralph Woods Scott,Consumer,Office Supplies,Avery 507,10564,2015-07-16,89783,Medium,63141,Central,22563,2015-07-17,Regular Air,Missouri,1,0.09,Poor,1,1,0.39,-2,-0.6667,3,1,3,-0.6666666666666666,-2.0
Labels,El Paso,Small Box,1131,Benjamin Strauss,Corporate,Office Supplies,Avery 487,10099,2015-07-16,88111,Not Specified,79907,Central,19799,2015-07-17,Regular Air,Texas,1,0.03,Acceptable,1,13,0.38,33,0.7021,47,1,4,0.7021276595744681,2.5384615384615383
Labels,Boston,Small Box,1129,Pam Patton,Corporate,Office Supplies,Avery 487,10099,2015-07-16,12897,Not Specified,2118,East,1799,2015-07-17,Regular Air,Massachusetts,1,0.03,Acceptable,1,53,0.38,60,0.3125,192,1,4,0.3125,1.1320754716981132
Envelopes,Emporia,Small Box,1938,Franklin Spencer,Corporate,Office Supplies,Airmail Envelopes,10075,2015-07-16,88875,Medium,66801,Central,21141,2015-07-18,Regular Air,Kansas,2,0.0,Poor,1,1,0.38,-44,-0.4731,93,20,84,-0.4731182795698925,-44.0
Paper,Hermitage,Small Box,3083,Louis Wells,Small Business,Office Supplies,Xerox 1907,10262,2015-07-16,89882,Medium,16148,East,20843,2015-07-18,Regular Air,Pennsylvania,2,0.03,Acceptable,1,13,0.38,92,0.5542,166,5,12,0.5542168674698795,7.076923076923077
Telephones and Communication,Fairfield,Small Box,1680,Esther Whitaker,Consumer,Technology,StarTAC 7760,10897,2015-07-16,86649,Critical,45014,East,23712,2015-07-18,Express Air,Ohio,2,0.06,Acceptable,1,13,0.59,504,0.6895,731,4,66,0.6894664842681258,38.76923076923077
Telephones and Communication,Tigard,Small Box,3156,Norman Ward,Corporate,Technology,T39m,10719,2015-07-16,86909,Not Specified,97224,West,24857,2015-07-18,Regular Air,Oregon,2,0.09,Poor,1,13,0.55,-172,-0.1075,1600,4,156,-0.1075,-13.23076923076923
Chairs & Chairmats,Irving,Jumbo Drum,1792,Curtis C Andrews,Corporate,Furniture,Bevis Steel Folding Chairs,10847,2015-07-17,87857,Critical,75061,Central,18406,2015-07-17,Delivery Truck,Texas,0,0.07,Poor,1,13,0.57,-1766,-1.4903,1185,74,96,-1.4902953586497891,-135.84615384615384
"Scissors, Rulers and Trimmers",New City,Small Pack,2107,Leigh Burnette Hurley,Corporate,Office Supplies,"Acme® 8"" Straight Scissors",10506,2015-07-17,2757,High,10956,East,407,2015-07-18,Express Air,New York,1,0.05,Poor,1,57,0.6,84,0.1087,773,3,13,0.10866752910737387,1.4736842105263157
"Scissors, Rulers and Trimmers",Indian Trail,Small Pack,2109,Evan Gill Roy,Corporate,Office Supplies,"Acme® 8"" Straight Scissors",10506,2015-07-17,87871,High,28079,South,18407,2015-07-18,Express Air,North Carolina,1,0.05,Poor,1,14,0.6,-23,-0.1211,190,3,13,-0.12105263157894737,-1.6428571428571428
Office Furnishings,San Marcos,Small Box,546,Pam Francis,Corporate,Furniture,"Eldon® Expressions™ Wood Desk Accessories, Oak",11033,2015-07-17,86254,High,78666,Central,18075,2015-07-19,Regular Air,Texas,2,0.02,Poor,1,15,0.56,-49,-0.4118,119,5,7,-0.4117647058823529,-3.2666666666666666
Office Furnishings,Rogers,Medium Box,2084,Marc Shapiro,Small Business,Furniture,"Deflect-o EconoMat Nonstudded, No Bevel Mat",10101,2015-07-17,89383,Critical,72756,South,18958,2015-07-19,Regular Air,Arkansas,2,0.0,Poor,1,3,0.65,-201,-1.1552,174,18,52,-1.1551724137931034,-67.0
Labels,Van Buren,Small Box,2683,Maxine Fletcher,Small Business,Office Supplies,Avery 481,11130,2015-07-18,89151,Critical,72956,South,26255,2015-07-20,Regular Air,Arkansas,2,0.02,Poor,1,2,0.37,-388,-55.4286,7,1,3,-55.42857142857143,-194.0
Appliances,Southbury,Jumbo Drum,1069,Pam Bennett,Home Office,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,10672,2015-07-19,87114,High,6488,East,25559,2015-07-21,Delivery Truck,Connecticut,2,0.08,Acceptable,1,3,0.59,258,0.3185,810,23,280,0.31851851851851853,86.0
Binders and Binder Accessories,Austin,Small Box,381,Danielle Watts,Corporate,Office Supplies,Ibico Covers for Plastic or Wire Binding Elements,10469,2015-07-19,88935,Not Specified,78745,Central,23835,2015-07-21,Regular Air,Texas,2,0.0,Poor,1,1,0.4,-18,-0.9474,19,7,12,-0.9473684210526315,-18.0
Labels,Los Angeles,Small Box,553,Kristine Connolly,Corporate,Office Supplies,Avery 501,10868,2015-07-19,7142,Critical,90008,West,991,2015-07-21,Regular Air,California,2,0.06,Acceptable,1,49,0.38,57,0.3149,181,1,4,0.3149171270718232,1.163265306122449
Labels,Pleasant Grove,Small Box,555,Walter Young,Corporate,Office Supplies,Avery 501,10868,2015-07-19,86196,Critical,84062,West,18991,2015-07-21,Regular Air,Utah,2,0.06,Acceptable,1,12,0.38,31,0.7045,44,1,4,0.7045454545454546,2.5833333333333335
Bookcases,Albuquerque,Jumbo Box,2007,Lauren West,Home Office,Furniture,Bush Mission Pointe Library,10815,2015-07-19,88808,Low,87105,West,25805,2015-07-23,Delivery Truck,New Mexico,4,0.1,Poor,1,10,0.65,-866,-0.5972,1450,66,151,-0.5972413793103448,-86.6
Office Machines,Saint Paul,Jumbo Drum,635,Juan Justice,Corporate,Technology,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",10805,2015-07-19,89287,Low,55106,Central,18919,2015-07-24,Delivery Truck,Minnesota,5,0.02,Acceptable,1,12,0.38,4146,0.69,6009,28,501,0.689965052421368,345.5
Paper,Columbus,Wrap Bag,1466,Wesley Reid,Small Business,Office Supplies,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",10727,2015-07-19,91119,Low,68601,Central,25657,2015-07-26,Regular Air,Nebraska,7,0.07,Acceptable,1,6,0.36,10,0.2439,41,3,7,0.24390243902439024,1.6666666666666667
Pens & Art Supplies,Essex Junction,Wrap Bag,148,Sidney Cox,Small Business,Office Supplies,Peel-Off® China Markers,10118,2015-07-20,91095,Low,5451,East,21581,2015-07-20,Regular Air,Vermont,0,0.03,Acceptable,1,6,0.43,42,0.6885,61,1,10,0.6885245901639344,7.0
Paper,Raleigh,Small Box,2257,Bernard Thompson,Corporate,Office Supplies,Multicolor Computer Printout Paper,10175,2015-07-20,87971,Medium,27604,South,22046,2015-07-21,Regular Air,North Carolina,1,0.03,Acceptable,1,2,0.37,136,0.6355,214,20,105,0.6355140186915887,68.0
Computer Peripherals,Raleigh,Small Box,2257,Bernard Thompson,Corporate,Technology,Microsoft Internet Keyboard,11090,2015-07-20,87971,Medium,27604,South,22045,2015-07-21,Regular Air,North Carolina,1,0.1,Poor,1,15,0.78,-173,-0.5728,302,7,21,-0.5728476821192053,-11.533333333333333
Bookcases,Oxford,Jumbo Box,2491,Sean N Boyer,Consumer,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",10884,2015-07-20,48288,Medium,1540,East,6780,2015-07-22,Delivery Truck,Massachusetts,2,0.08,Poor,1,34,0.69,-582,-0.1294,4499,55,131,-0.12936208046232497,-17.11764705882353
Bookcases,Costa Mesa,Jumbo Box,2490,Pauline Finch,Consumer,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",10884,2015-07-20,86893,Medium,92627,West,24780,2015-07-22,Delivery Truck,California,2,0.08,Poor,1,8,0.69,-582,-0.5496,1059,55,131,-0.5495750708215298,-72.75
Paper,Vestavia Hills,Small Box,2697,Ricky W Clements,Corporate,Office Supplies,Staples Copy Paper (20Lb. and 84 Bright),11174,2015-07-20,87686,High,35216,South,20091,2015-07-22,Regular Air,Alabama,2,0.03,Acceptable,1,16,0.38,131,1.6375,80,5,5,1.6375,8.1875
Telephones and Communication,Raleigh,Small Box,2257,Bernard Thompson,Corporate,Technology,600 Series Flip,10248,2015-07-20,87971,Medium,27604,South,22047,2015-07-22,Regular Air,North Carolina,2,0.02,Acceptable,1,9,0.57,196,0.261,751,9,96,0.2609853528628495,21.77777777777778
Binders and Binder Accessories,Sioux City,Small Box,2891,Amanda Wright,Consumer,Office Supplies,3M Organizer Strips,10479,2015-07-21,90016,Low,51106,Central,19339,2015-07-21,Regular Air,Iowa,0,0.02,Poor,1,5,0.37,-73,-2.4333,30,8,5,-2.433333333333333,-14.6
Paper,Southbury,Small Box,2769,Melanie Barker Hirsch,Corporate,Office Supplies,Xerox 1895,10068,2015-07-21,88979,Low,6488,East,18784,2015-07-21,Regular Air,Connecticut,0,0.06,Poor,1,14,0.4,-2301,-26.4483,87,10,6,-26.448275862068964,-164.35714285714286
Storage & Organization,Forest Park,Small Box,271,Sam Rouse,Small Business,Office Supplies,Eldon Shelf Savers™ Cubes and Bins,10489,2015-07-21,88949,Low,30297,South,22088,2015-07-21,Regular Air,Georgia,0,0.06,Acceptable,1,4,0.83,543,18.7241,29,10,7,18.724137931034484,135.75
Storage & Organization,Charlotte,Small Box,272,Eleanor Swain,Small Business,Office Supplies,Eldon Shelf Savers™ Cubes and Bins,10489,2015-07-21,29152,Low,28204,South,4088,2015-07-21,Regular Air,North Carolina,0,0.06,Poor,1,18,0.83,-141,-1.0682,132,10,7,-1.0681818181818181,-7.833333333333333
Computer Peripherals,Southbury,Small Pack,559,Harvey McDonald,Home Office,Technology,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",11085,2015-07-21,91155,Low,6488,East,22430,2015-07-21,Regular Air,Connecticut,0,0.08,Acceptable,1,14,0.55,406,0.6905,588,2,45,0.6904761904761905,29.0
Appliances,Midland,Small Box,1986,Lynda Rosenthal,Home Office,Office Supplies,Belkin 6 Outlet Metallic Surge Strip,10462,2015-07-21,90890,Critical,79701,Central,20236,2015-07-22,Regular Air,Texas,1,0.09,Poor,1,17,0.59,-53,-0.3029,175,5,11,-0.3028571428571429,-3.1176470588235294
Computer Peripherals,Killingly Center,Small Box,398,Bruce Stark,Corporate,Technology,"Fellowes Internet Keyboard, Platinum",10397,2015-07-21,89322,High,6241,East,24672,2015-07-23,Regular Air,Connecticut,2,0.07,Poor,1,7,0.74,-158,-0.7633,207,9,30,-0.7632850241545893,-22.571428571428573
Computer Peripherals,Forest Park,Small Pack,271,Sam Rouse,Small Business,Technology,"Maxell Pro 80 Minute CD-R, 10/Pack",10488,2015-07-21,88949,Low,30297,South,22087,2015-07-25,Regular Air,Georgia,4,0.0,Poor,1,1,0.45,-14,-0.7,20,2,17,-0.7,-14.0
Computer Peripherals,Charlotte,Small Pack,272,Eleanor Swain,Small Business,Technology,"Maxell Pro 80 Minute CD-R, 10/Pack",10488,2015-07-21,29152,Low,28204,South,4087,2015-07-25,Regular Air,North Carolina,4,0.0,Poor,1,4,0.45,-54,-0.6923,78,2,17,-0.6923076923076923,-13.5
Appliances,Southbury,Large Box,559,Harvey McDonald,Home Office,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,10376,2015-07-21,91155,Low,6488,East,22429,2015-07-26,Regular Air,Connecticut,5,0.04,Acceptable,1,4,0.52,844,0.6895,1224,24,301,0.6895424836601307,211.0
Office Furnishings,Henderson,Wrap Bag,570,Katharine Bass,Consumer,Furniture,"Master Caster Door Stop, Brown",10865,2015-07-22,88885,Low,89015,West,25888,2015-07-24,Regular Air,Nevada,2,0.07,Acceptable,1,9,0.51,22,0.4783,46,2,5,0.4782608695652174,2.4444444444444446
Telephones and Communication,Henderson,Small Box,570,Katharine Bass,Consumer,Technology,StarTAC ST7762,10867,2015-07-22,88885,Low,89015,West,25890,2015-07-24,Regular Air,Nevada,2,0.02,Acceptable,1,16,0.57,1182,0.69,1713,8,126,0.6900175131348512,73.875
Computer Peripherals,Bay City,Small Pack,1482,Michael Tanner,Corporate,Technology,BASF Silver 74 Minute CD-R,11188,2015-07-22,91364,High,48708,Central,21757,2015-07-24,Regular Air,Michigan,2,0.07,Poor,1,15,0.51,-59,-2.36,25,2,2,-2.36,-3.933333333333333
Computer Peripherals,Oxford,Small Pack,1481,Marvin MacDonald,Corporate,Technology,BASF Silver 74 Minute CD-R,11188,2015-07-22,26851,High,1540,East,3757,2015-07-24,Regular Air,Massachusetts,2,0.07,Poor,1,59,0.51,-59,-0.596,99,2,2,-0.5959595959595959,-1.0
Appliances,Henderson,Small Box,570,Katharine Bass,Consumer,Office Supplies,Fellowes Superior 10 Outlet Split Surge Protector,10864,2015-07-22,88885,Low,89015,West,25887,2015-07-26,Regular Air,Nevada,4,0.09,Acceptable,1,5,0.56,108,0.5775,187,5,38,0.5775401069518716,21.6
Telephones and Communication,Henderson,Small Box,570,Katharine Bass,Consumer,Technology,5170i,10866,2015-07-22,88885,Low,89015,West,25889,2015-07-27,Regular Air,Nevada,5,0.0,Acceptable,1,7,0.57,378,0.4941,765,9,126,0.49411764705882355,54.0
Computer Peripherals,Columbus,Small Pack,2657,Anthony Greer,Consumer,Technology,"Memorex 4.7GB DVD+RW, 3/Pack",11179,2015-07-23,86069,High,31907,South,24507,2015-07-23,Regular Air,Georgia,0,0.0,Poor,1,14,0.4,-23,-0.0554,415,2,28,-0.05542168674698795,-1.6428571428571428
Office Furnishings,Columbus,Small Pack,2657,Anthony Greer,Consumer,Furniture,"Executive Impressions 14"" Contract Wall Clock",10594,2015-07-23,86069,High,31907,South,24508,2015-07-24,Regular Air,Georgia,1,0.03,Acceptable,1,14,0.52,642,1.9633,327,4,22,1.963302752293578,45.857142857142854
Office Furnishings,Beckley,Small Box,1677,Benjamin Bates,Small Business,Furniture,"Eldon® Image Series Desk Accessories, Burgundy",10711,2015-07-23,89492,Critical,25801,East,22295,2015-07-25,Express Air,West Virginia,2,0.04,Poor,1,7,0.49,-90,-2.6471,34,7,4,-2.6470588235294117,-12.857142857142858
Paper,Columbus,Small Box,2657,Anthony Greer,Consumer,Office Supplies,Xerox 212,11209,2015-07-23,86069,High,31907,South,24509,2015-07-25,Regular Air,Georgia,2,0.0,Poor,1,15,0.37,-21,-0.2039,103,8,6,-0.20388349514563106,-1.4
Binders and Binder Accessories,Columbia,Small Box,2075,Ronald Park,Corporate,Office Supplies,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",11194,2015-07-23,87576,High,65203,Central,18338,2015-07-25,Regular Air,Missouri,2,0.05,Poor,1,5,0.4,-46,-1.2105,38,6,7,-1.2105263157894737,-9.2
Computer Peripherals,Prescott,Small Box,753,Elisabeth Massey,Corporate,Technology,Gyration Ultra Professional Cordless Optical Suite,10791,2015-07-23,90442,Medium,86301,West,23518,2015-07-25,Regular Air,Arizona,2,0.05,Acceptable,1,7,0.48,1450,0.6898,2102,7,301,0.6898192197906755,207.14285714285714
Storage & Organization,Prescott Valley,Small Box,754,Helen Lyons,Corporate,Office Supplies,"Hot File® 7-Pocket, Floor Stand",10724,2015-07-23,90442,Medium,86314,West,23517,2015-07-26,Regular Air,Arizona,3,0.09,Poor,1,1,0.55,-114,-0.6264,182,20,178,-0.6263736263736264,-114.0
Pens & Art Supplies,Beckley,Small Pack,1677,Benjamin Bates,Small Business,Office Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,10474,2015-07-23,89492,Critical,25801,East,22296,2015-07-26,Regular Air,West Virginia,3,0.06,Acceptable,1,14,0.56,177,0.368,481,9,35,0.367983367983368,12.642857142857142
Computer Peripherals,New York City,Small Box,1386,Miriam Drake,Home Office,Technology,Logitech Cordless Elite Duo,10968,2015-07-23,88315,Medium,10024,East,23128,2015-07-26,Regular Air,New York,3,0.1,Acceptable,1,3,0.4,51,0.1735,294,7,101,0.17346938775510204,17.0
Computer Peripherals,Draper,Small Box,1988,Anna Burgess,Home Office,Technology,U.S. Robotics 56K Internet Call Modem,10572,2015-07-23,90005,Low,84020,West,20154,2015-07-27,Express Air,Utah,4,0.08,Acceptable,1,10,0.5,367,0.3674,999,20,100,0.36736736736736736,36.7
